130.191.9.28	cristos-9-028.sdsu.edu
130.191.9.29	cristos-9-029.sdsu.edu
130.191.9.30	cristos-9-030.sdsu.edu
130.191.9.31	cristos-9-031.sdsu.edu
130.191.9.32	cristos-9-032.sdsu.edu
130.191.9.33	cristos-9-033.sdsu.edu
130.191.9.34	cristos-9-034.sdsu.edu
130.191.9.35	cristos-9-035.sdsu.edu
130.191.9.36	cristos-9-036.sdsu.edu
130.191.9.37	cristos-9-037.sdsu.edu
130.191.9.38	cristos-9-038.sdsu.edu
130.191.9.39	cristos-9-039.sdsu.edu
130.191.9.40	cristos-9-040.sdsu.edu
130.191.9.41	cristos-9-041.sdsu.edu
130.191.9.42	cristos-9-042.sdsu.edu
130.191.9.43	cristos-9-043.sdsu.edu
130.191.9.44	cristos-9-044.sdsu.edu
130.191.9.45	cristos-9-045.sdsu.edu
130.191.9.46	cristos-9-046.sdsu.edu
130.191.9.47	cristos-9-047.sdsu.edu
130.191.9.48	cristos-9-048.sdsu.edu
130.191.9.49	cristos-9-049.sdsu.edu
130.191.9.50	campa.sdsu.edu
130.191.9.113	urd-fwidb.sdsu.edu
130.191.9.217	dbbest.sdsu.edu
130.191.11.33	at.sdsu.edu
130.191.11.49	clinpsycjdp-sql.sdsu.edu
130.191.11.65	clinpsycjdp-sha.sdsu.edu
130.191.11.81	sastest.sdsu.edu
130.191.11.97	p2l.sdsu.edu
130.191.13.7	man-in-the-middle.sdsu.edu
130.191.13.10	spaceballs.sdsu.edu
130.191.13.16	bug.sdsu.edu
130.191.13.18	taos.sdsu.edu
130.191.13.21	kona.sdsu.edu
130.191.13.23	strap-on.sdsu.edu
130.191.13.25	exit.sdsu.edu
130.191.13.26	diversion.sdsu.edu
130.191.13.32	boogie.sdsu.edu
130.191.13.52	doit.sdsu.edu
130.191.13.53	gargoyle.sdsu.edu
130.191.14.2	mvstest.sdsu.edu
130.191.15.7	svm-netapp1silver.sdsu.edu
130.191.15.8	svm-netapp2silver.sdsu.edu
130.191.15.11	merryweather.sdsu.edu
130.191.15.12	xps.sdsu.edu
130.191.15.13	jiminycricket.sdsu.edu
130.191.15.15	ucovault.sdsu.edu
130.191.15.17	monty2.sdsu.edu
130.191.15.18	monitor.sdsu.edu
130.191.15.19	uco-fs.sdsu.edu
130.191.15.20	asteroid.sdsu.edu
130.191.15.21	sdsusec.sdsu.edu
130.191.15.22	bisipm.sdsu.edu
130.191.15.23	crete.sdsu.edu
130.191.15.24	bali.sdsu.edu
130.191.15.25	biscms.sdsu.edu
130.191.15.26	bisdevwci.sdsu.edu
130.191.15.27	biststwci.sdsu.edu
130.191.15.28	bisstat.sdsu.edu
130.191.15.29	bisprdwci.sdsu.edu
130.191.15.30	sd12dadm.sdsu.edu
130.191.15.31	sd12cadm.sdsu.edu
130.191.15.32	sd12qadm.sdsu.edu
130.191.15.33	sd12sadm.sdsu.edu
130.191.15.34	sd12tadm.sdsu.edu
130.191.15.35	hrtstcapp.sdsu.edu
130.191.15.36	hrprdcapp.sdsu.edu
130.191.15.40	wrac1p.sdsu.edu
130.191.15.41	wrac2p.sdsu.edu
130.191.15.42	wrac3p.sdsu.edu
130.191.15.43	wrac4p.sdsu.edu
130.191.15.44	bermuda.ba.sdsu.edu
130.191.15.45	kauai.ba.sdsu.edu
130.191.15.46	cozumel.ba.sdsu.edu
130.191.15.47	cancun.ba.sdsu.edu
130.191.15.48	aztid.sdsu.edu
130.191.15.49	wsgp.sdsu.edu
130.191.15.50	cuba.sdsu.edu
130.191.15.52	red.sdsu.edu
130.191.15.55	hrtstcbi.sdsu.edu
130.191.15.56	hrprdcbi.sdsu.edu
130.191.15.57	wrac1d.sdsu.edu
130.191.15.58	wrac2d.sdsu.edu
130.191.15.60	wrac1dip.sdsu.edu
130.191.15.61	wrac2dip.sdsu.edu
130.191.15.62	wrac1sip.sdsu.edu
130.191.15.63	wrac2sip.sdsu.edu
130.191.15.64	wrac1vip.sdsu.edu
130.191.15.65	wrac2vip.sdsu.edu
130.191.15.66	wrac3vip.sdsu.edu
130.191.15.67	wrac4vip.sdsu.edu
130.191.15.68	wrac5vip.sdsu.edu
130.191.15.69	wrac6vip.sdsu.edu
130.191.15.70	dpsacstemp.sdsu.edu
